1:1,2:4:1:0:1:2:0
2:1,2:4:2:0:1:1:0
3:2,3:2:9:0:1:4:1
4:2,3:2:9:0:1:3:1
5:2,7:2:9:0:1:0:2
6:7,17:3:7:0:1:0:0
7:6,7:1:1:0:1:0:0
8:3,6:2:3:0:1:0:0
9:5,6:2:7:0:1:10:0
10:6,7:2:6:0:1:9:0
11:3,5:3:1:0:1:0:0
12:3,8:4:5:0:1:0:0
13:5,8:4:4:0:1:14:0
14:5,8:4:3:0:1:13:0
15:5,13:4:9:0:1:0:0
16:5,14:3:9:1:1:0:0
17:12,13:4:9:0:1:0:0
18:8,9:3:1:0:1:19:0
19:8,9:3:8:0:1:18:0
20:9,10:3:5:0:1:0:0
21:9,12:2:7:0:1:0:0
22:9,11:3:2:0:1:0:0
23:10,11:2:4:0:1:0:0
24:8,12:2:9:1:1:0:0
25:8,13:4:6:0:1:0:0
26:3,4:2:2:0:1:0:0
27:13,14:2:5:1:1:0:0
28:13,22:4:9:1:1:0:0
29:5,16:3:8:0:1:30:0
30:5,16:3:2:0:1:29:0
31:6,16:2:4:0:1:0:0
32:7,16:2:8:0:1:1:0
33:16,17:2:3:0:1:0:0
34:15,16:2:5:0:1:0:0
35:14,15:2:5:0:1:0:0
36:14,21:2:3:1:1:0:0
37:15,21:2:4:1:1:0:0
38:15,20:3:2:0:1:0:0
39:21,23:2:9:0:1:0:0
40:21,22:2:1:0:1:0:0
41:22,22:2:8:0:1:0:0
42:22,25:4:9:0:1:0:1
43:24,25:3:9:0:1:0:1
44:24,27:4:9:0:1:0:1
45:25,26:6:9:0:1:0:2
46:27,28:4:3:0:1:0:0
47:23,28:3:6:0:1:0:0
48:23,39:2:2:0:1:0:0
49:20,23:2:9:0:1:0:0
50:19,20:3:3:0:1:0:0
51:17,19:2:4:0:1:0:0
52:19,41:4:9:0:1:0:0
53:19,40:4:5:0:1:54:0
54:19,40:4:7:0:1:53:0
55:40,41:2:9:0:1:0:0
56:40,43:3:6:0:1:0:0
57:42,43:4:3:0:1:0:0
58:37,40:4:9:0:1:0:0
59:37,39:6:9:1:1:0:0
60:20,39:1:6:0:1:61:0
61:20,39:1:8:0:1:60:0
62:28,29:3:5:0:1:0:0
63:38,39:4:9:1:1:0:0
64:28,29:2:9:1:1:0:0
65:27,29:3:5:0:1:0:0
66:26,27:2:9:0:1:0:1
67:29,30:3:4:0:1:0:0
68:29,38:2:9:1:1:0:0
69:26,30:2:9:1:1:0:0
70:26,31:3:2:1:1:0:0
71:30,38:3:7:0:1:0:0
72:30,31:2:9:1:1:0:0
73:31,32:3:1:0:1:0:0
74:32,33:4:9:0:1:0:2
75:32,34:3:6:1:1:0:0
76:30,33:4:9:0:1:0:2
77:33,38:4:8:0:1:0:0
78:33,35:4:9:0:1:0:0
79:34,35:2:9:0:1:0:0
80:37,38:4:9:0:1:0:0
81:36,37:4:9:0:1:0:0
82:35,36:2:3:0:1:0:0
83:36,45:4:9:0:1:0:0
84:37,44:3:6:0:1:0:0
85:20,40:4:4:0:1:0:0
86:37,43:2:9:0:1:0:0
87:43,44:3:7:0:1:0:0
88:43,46:4:4:0:1:0:0
89:44,45:2:2:0:1:0:0
90:45,46:4:8:0:1:0:0
91:42,46:4:9:0:1:0:0
92:41,42:3:1:0:1:0:0
93:46,47:8:9:1:1:0:0
94:18,47:3:7:0:1:95:0
95:18,47:3:8:0:1:94:0
96:17,18:3:9:0:1:97:1
97:17,18:3:9:0:1:96:1
98:16,19:3:1:0:1:99:0
99:16,19:3:6:0:1:98:0
100:4,5:1:5:0:1:0:0
